Sentence,Sentiment
" Wawe’ xtintz’ib’aj jalajöj kitzij ri nab’ey qatata’, qamama’, ri xeme’alan, xek’ajolan winäq ojer, töq majani xek’oje’ winaqi’ chuwäch re juyu’, taq’aj re’; töq k’a ruyon umül, tz’ikin xek’oje’, xecha’",+
" Xtintz’ib’aj k’a kitzij ri qitzij ri nab’ey qatata’, qamama’",+
" “Wawe’ k’a ja kib’i’ ri rujay, ruchinamit, e: Q’eqak’üch, B’ak’ajola’, Sib’aqijay",0
" Ja re’ kitzij ri Q’aq’awitz, Saktekaw",0
Tz’apäl ri ruchi’ Tulan akuchi xojpe wi,-
"K’a ri’ xojpixab’äx k’a pe kuma qate’, qatata’",+
" Töq xepixab’an k’a qate’, qatata’ xcha’ k’a chke:  “jïx k’a, ïx nuk’ajol, ïx nume’al!  Re’ iwejqa’n re’, re’ k’a itzuquj, iq’o’oj, iwilij re’",-
" Wuqamaq' k'a nab'ey xepe el pa Tulan, xecha’",-
 Xepe ri Rab’inale’,0
 K’ate k’a xojpe wi öj ajpopo’,String
"”Re k’a tiwokusaj, tikusaj apo: ch’a’, pokob’, achkayupil, k’uk’um, ja ri xik’, saqkab’, rachya’ik, juley chïk ejqa’n, juley taq sipanïk, k’a pe ri q’awonon, q’asital, e kitib’al, xoq’ol, ch’ab’äq, q’eqal jöb’, sutz’, moyew",+
"Ja yan k’a chi ri’ xtikïr wi pe ri lab’alinïk, ri rutzijoxik achike ri b’enäq apo",String
" K’a ri’ xoq’ chïk k’a jun chïk chiköp, tukur rub’i’",String
"Xa juyeq’, juxak xqab’än töq xojpaxin, xqakiraj qi’",String
" Ri taq juyu’ akuchi’ xe’ik’o wi pe ja re’: Chuwi’ Popo’ Ab’äj;  xeqa chuwi’ Ch’opitzel, Pa Nimak’oxom, Xe Nimachäj; xeqa chi la’ Muqulïk Ya’, Molomïk Che’",String
 Chi ri’ k’a chukojol juyu’ Chi Q’aq’ ruchajin wi kib’ey,String
 Xe’el chïk k’a chi ri’,String
" Xe’apon chïk k’a chuwi’ juyu’ Meme’ Juyu’, Takna’ juyu’ rukamul kaqän",String
" Re’ chïk k’a ch’aqa kib’i’ ri juyu’ akuchi’ xojik’o wi: xojel chi wi’ Saqitew, Saqik’uwa’, Nik’aj Sub’inal, Nik’aj Chakachil, Tz’ulajaw Xb’akaj, Nik’aj Nimxor, Nik’aj Moynal, Nik’aj Karchaj",String
"K’a ri’ xe’ilitäj chïk k’a ri aj Nimpoqom, aj Raxch’ich’ pa Saqtzuy, rub’i’ juyu’",String
"Ke re’ k’a xrelajij, xusüj wi kej, masat, kab’ Yukite’ Chajom ri’",String
" K’a ri’ xe’ilitäj chïk k’a ri Kaweqi’, chi ri’ Xe Nimachäj, Ximb’äl Xuk’ rub’i’ ri juyu’",String
" Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xch’akatäj ri qamama’, töq xkäm qamama’ Saktekaw",String
" Xe’apon chïk k’a chuwi’ juyu’ Saqijuyu’, Teyokuman rukamul kaqän",String
K’a ri’ xepe chïk chi ri’,String
Wawe’ xtintz’ib’aj kan k’amb’äl kichin ri Iqomaq’i’,String
  K’a ri’ xe’apon chïk k’a chuwi’ juyu’ K’aqb’atz’ulu’,String
 Ke re’ k’a xkib’ij: “At qachaq’,String
 K’a ri’ xtikïr k’a rukamisaxik ri Tolk’om,String
" K’a ri’ xepe chïk k’a chi ri’, chuwi’ juyu’ K’aqb’atz’ulu’,  xkik’äq apo, xkitzäq qa ch’aqa’ Tolk’om, xkiroqij ruti’ojil, rub’aqil Tolk’om chupam ri choy",String
"Xk’oje’ jun ri xrajo’, jun rurayb’al",String
"Ri Q’aq’awitz xtzolij  chïk apo, xrajik’oruk’ama’ rana’;  xrajo’nik’o apo nuk’äm pe ri rana’",String
"K’a ri’ xe’ik’o wi, xemeje’ wi ri nab’ey qatata’ qamama’ ri Q’aq’awitz, Saktekaw",String
"Kisaqirib’al wawe’:  wawe’ xtintz’ib’aj kan kisaqirib’al, akuchi’ xkitïk kitinamit, kamaq’",String
" Nab’ey k’a xepe ri Q’eqak’üch, B’ak’ajol, Sib’aqijay, Kaweq",String
Kani k’a xketaj kajpop chi ajawarem,String
Wawe’ k’a xtintz’ib’aj kan kipoqonal töq xek’oje’ chi ri’,String
" Qitzij wi chi poqon xqalaq’ab’ej, xqab’än qatinamit töq xojapon chi qajuyub’al, xecha’ ri ojer qamama’, ïx nuk’ajol",String
Wawe’ xtintz’ib’aj kan kik’amb’al ixoqi’,String
 Tuquche’ xpe wi rixjayil ri qamama’ Q’aq’awitz,String
Ja k’a ri’ xtikïr rutzuqik k’axtok’,String
"K’a ri’ xk’utun k’a jujun ok kilab’al, kik’ulel",String
"Xepe k’a chi ri’ Pan Tzik, Pa Raxone’",String
"K’a ri’ xkäm ri ajaw Q’aq’awitz, ri qitzij xpe pa Tulan",String
"Töq xenimär, töq e nïm chïk xe’el pe chi kewäl",String
Xk’oje’ chïk jun nïm ajaw,String
"Je k’a ri Q’alel Xajil, Ajuchan Xajil xtaqëx kitzij kuma ri Q’eqak’uchi’, ri B’ak’ajola’",String
Wawe’ xtintz’ib’aj kib’enab’al ruk’in Tepew,String
" K’a ri’ xeb’e qamama’ Ka’i’ No’j, Ka’i’ B’atz’ ruk’in Tepew",String
K’a ri’ xetaq k’a chi k’amoj patan ruma Tepew,String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xeya’öx  kixjayila’,String
"Ka’i’ No’j, Ka’i’ B’atz’, achi’el k’amol patan, xeb’e chïk chi ke ri Ajtz’ikinajay",String
"Töq xkina’ runaq’ kiwäch, töq xeyakatäj ri Ka’i’ No’j, Ka’i’ B’atz’ man xkina’ ta chïk kixet",String
"Wawe’ xtintz’ib’aj kan ri kanub’äl kichin, achike xb’anatäj töq xekanüx",String
K’a ri’ xekanüx k’a ruma ri chinamït,String
"Wawe’ xtintz’ib’aj kan töq xe’apon chïk Pan Che’, Chi Q’ojom",String
Xe’apon k’a chi ri’ kachb’ilam chïk kixjayila’,String
Xe’ok jun b’ey chïk chi ajawarem,String
"Xek’ajolan, xeme’alan k’a ri Ka’i’ No’j, Ka’i’ B’atz’",String
"K’a ri’ xecha’ ri Ka’i’ No’j, Ka’i’ B’atz’: “Tiqatz’aqatirisaj qajawarem achi’el ojrupixab’an kan qatata’!  Ke’ok ta ka’i’ qak’ajol chi ajawarem!” xecha’",String
"Xekäm k’a ri Ka’i’ No’j, Ka’i’ B’atz’",String
"Kik’ajola’ e okinäq kan Q’alel Xajil, Ajuchan Xajil töq xekäm kitata’",String
"Je k’a qitzij xesutulaqin, ximon su’t pa kijolom",String
"Xek’oje’ ka’i’ kik’ajol: K’o Xajil, K’o B’aqil",String
Xa k’a xek’oje’ chi popol ri Iqomaq’i’,String
Xkitolob’a’ kan kitinamit,String
"Töq xe’apon chïk k’a qamama’ chi ri’ chuwi’ ri tinamït Och’al,  xeloq’öx kuma ri Aqajal winäq",String
"Wawe’ xtintz’ib’aj kan kib’i’ ri qamama’ ri xe’ajawär ojer, ja re’ kib’i’ ri chi xe’ok ajawa’",String
"Rije’ qitzij xesutulaqin, xkikusaj kisu’t, xeyamalaqin, xe jeb’ël ichinaj kikusan",String
"Töq xajawär Sitan K’atu’, ri ruk’ajol ri ajaw Ka’i’ No’j, nïm rupus nawal",String
K’a ri xcha’ k’a ajaw K’iqab’ chi ke ajawa’: “Tikitika’ jun itinamit Chi Awär!” xe’uche’ëx ruma ajaw K’iqab’,String
Wawe’ xtintz’ib’aj kan achike xb’anatäj  töq xe’apon chïk Chi Awär,String
Xerutäq el ri ajaw K’iqab’,String
Xajawär chi ri’ ri ajaw Xitayul Jax,String
Chuqa’  ri ajaw Xikitzal xok chi ajawarem chi ri’,String
"Ruma ri’ xe’ajin yekuchun, yemolon ri oxlajuch’ob’ ajlab’al chi ri’ Q’umarkaaj",String
"Ruloman ri Sotz’il, Tuquche’ xe’ajin nkiqasaj ruwa kiq’ij,  ri qamama’ xe’achijïr, xekowin, xpe kuchuq’a’",String
"K’a ri’ xekäm ri kajawa’ ri Sotz’il, Tuquche’",String
"Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xe’ok chi ajawarem ri qamama’ Jun Toj, Wuqu’ B’atz’",String
"K’ate k’a xe’ajawär ri qamama’ ri Jun Toj, Wuqu’ B’atz’",String
Ri ajaw Sitan Tijax Kab’laj ja ri’ rutata’ ri Wuqu’ B’atz’,String
"Töq xkichäp kajawarem  qamama’, k’ate xkitïk jun b’ey chïk jun tinamït chi ri’ pa Chi Awär Tz’upitaq’aj",String
"Wawe’ xtintz’ib’aj kan kib’i’ ri taq tinamït ri xkich’äk, töq najin nq’aq’är ri ajaw K’iqab’:",String
"Jalïk, Wita’um, Lajub’, B’elej Kwijay, Xub’ab’äl, Q’aq’al I’x, Jul Tukur, K’amaq’equm, Chi K’otuq, Chi Kaqyuq’, Koja’, Ajtz’uruya’, Sutum, Ch’ixnal, Molob’aq, Toxkomine’, Tujalajay, Uchab’ajay, Ajch’umilajay, Lamaq’i’, Kumätz, Rapaq, Chi Chäj, Uxa’, Ajalkil, Molomïk Ab’äj, Nïm Poqom, Nakuxkux, B’ulb’ux Ya’, Pan Aj, Chi Jolom, Q’eqasiwan, Q’uq’ujuyu’, K’axk’an, Wuqu’ Siwan, Xe Rajapit",String
Wawe’ xtintz’ib’aj achike xb’anatäj töq xtikïr ri ch’a’oj chrij ri ajaw K’iqab’,String
Xtikïr ri ch’a’oj chrij ri ajaw K’iqab’ kuma ri K’iche’ winäq,String
Xek’oje’ kaji’ ruk’ajol ri ajaw K’iqab’,String
"Ja re’ k’a kib’i’ ri kajawal, kib’i’ ri nima’q achi’a’ xekamisäx;  Jerech,  Taq’unun, Xjutz’uy, f, Asakot, Kamachat kib’i’",String
"Töq xelaj ri ajaw K’iqab’, töq xuya’ ri’ chi ke ri achija’, xutzijob’ej ruxit, rupwäq",String
"Ke re’ k’a xb’anatäj, ja ri nima’q achi’a’ qitzij ri ruxe’ ri ch’a’oj",String
"K’a naqaj töq xutzin re ch’a’oj re’, xtikïr jun chïk chi kij qamama’",String
Xtintz’ib’aj kan ri ruxe’ re ch’a’oj re’ wawe’,String
K’a ri’ xtikïr jun chïk ch’a’oj chi kij ajawa’,String
Wawe’ xtintz’ib’aj töq xkipixab’aj ki’ ri ajawa’,String
 Kani k’a xel pe rusamajel ri ajaw K’iqab’,String
"rusamajel, ri ajtaqol rutzij ajaw K’iqab’ xepixab’an chaq’a’, pan ewäl xetzijon",String
"Wawe’  xtintz’ib’aj kan achike xb’anatäj töq xepe el Chi Awär, töq xkiya’ kan kitinamit chi ri’",String
"Chi ri q’ij oxlajuj Iq’, xtole’ kan ri tinamït Chi Awär",String
Man xe’ucheb’ëx ta ri K’iche’ winäq,String
"Ke re’ k’a xkitïk, xkib’än kan ri tinamït chi Iximche’ qamama’ ri’, ïx nuk’ajol",String
Ja re’ ruxe’el ri k’ak’a’ k’ayewal ri’,String
"K’a ri’ k’a Jun Toj, Wuqu’ B’atz’ xekijäch ri wuqamaq’, ri nima’q achi’a’ ri xetzuqu kichin",String
Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xekäm ri ajawa’ ri’,String
Ja k’a nab’ey ri ajaw Jun Toj xkäm,String
"K’a ri’ xajawär chïk k’a ri ajaw Lajuj Aj rub’i’, ri nab’ey ruk’ajol ri ajaw Jun Toj",String
"K’a ri’ chïk k’a xajawär ri ajaw Oxlajuj Tz’i’ rub’i’, ri nab’ey ruk’ajol ajaw Wuqu’ B’atz’",String
"Ja k’a ri ajaw, qamama’ Oxlajuj Tz’i’, ke re’ na wi  ri Lajuj Aj (Nima_Aj) qitzij nxib’in kuchuq’a’ töq xe’achijïr",String
K’a ri’ xkäm chïk k’a ri ajaw Lajuj Aj,String
"K’a ri’ xkäm ri nawal ajaw, ri nïm ajaw, K’iqab’ chi la’ kuk’in ri K’iche’",String
Kipeteb’al wawe’:,String
 K’a ri’ xepe ri ajlab’al K’iche’,String
Chi ri q’ij lajuj Tz’i’ xkiya’ chi kiwäch ri K’iche’ winäq chi xtikik’waj ri lab’al chi ri’ k’a chi Iximche’,String
 K’a ri xkikawuj ki’ ri Kaqchikel achija’,String
Kani xel jun k’amol b’ey,String
Wawe’ xtintz’ib’aj kikamib’al ri K’iche’ winäq,String
