variable,value
Column1," Wawe’ xtintz’ib’aj jalajöj kitzij ri nab’ey qatata’, qamama’, ri xeme’alan, xek’ajolan winäq ojer, töq majani xek’oje’ winaqi’ chuwäch re juyu’, taq’aj re’; töq k’a ruyon umül, tz’ikin xek’oje’, xecha’"
Column1," Xtintz’ib’aj k’a kitzij ri qitzij ri nab’ey qatata’, qamama’"
Column1," “Wawe’ k’a ja kib’i’ ri rujay, ruchinamit, e: Q’eqak’üch, B’ak’ajola’, Sib’aqijay"
Column1," Ja re’ kitzij ri Q’aq’awitz, Saktekaw"
Column1,Tz’apäl ri ruchi’ Tulan akuchi xojpe wi
Column1,"K’a ri’ xojpixab’äx k’a pe kuma qate’, qatata’"
Column1," Töq xepixab’an k’a qate’, qatata’ xcha’ k’a chke:  “jïx k’a, ïx nuk’ajol, ïx nume’al!  Re’ iwejqa’n re’, re’ k’a itzuquj, iq’o’oj, iwilij re’"
Column1," Wuqamaq' k'a nab'ey xepe el pa Tulan, xecha’"
Column1, Xepe ri Rab’inale’
Column1, K’ate k’a xojpe wi öj ajpopo’
Column1,"”Re k’a tiwokusaj, tikusaj apo: ch’a’, pokob’, achkayupil, k’uk’um, ja ri xik’, saqkab’, rachya’ik, juley chïk ejqa’n, juley taq sipanïk, k’a pe ri q’awonon, q’asital, e kitib’al, xoq’ol, ch’ab’äq, q’eqal jöb’, sutz’, moyew"
Column1,"Ja yan k’a chi ri’ xtikïr wi pe ri lab’alinïk, ri rutzijoxik achike ri b’enäq apo"
Column1," K’a ri’ xoq’ chïk k’a jun chïk chiköp, tukur rub’i’"
Column1,"Xa juyeq’, juxak xqab’än töq xojpaxin, xqakiraj qi’"
Column1," Ri taq juyu’ akuchi’ xe’ik’o wi pe ja re’: Chuwi’ Popo’ Ab’äj;  xeqa chuwi’ Ch’opitzel, Pa Nimak’oxom, Xe Nimachäj; xeqa chi la’ Muqulïk Ya’, Molomïk Che’"
Column1, Chi ri’ k’a chukojol juyu’ Chi Q’aq’ ruchajin wi kib’ey
Column1, Xe’el chïk k’a chi ri’
Column1," Xe’apon chïk k’a chuwi’ juyu’ Meme’ Juyu’, Takna’ juyu’ rukamul kaqän"
Column1," Re’ chïk k’a ch’aqa kib’i’ ri juyu’ akuchi’ xojik’o wi: xojel chi wi’ Saqitew, Saqik’uwa’, Nik’aj Sub’inal, Nik’aj Chakachil, Tz’ulajaw Xb’akaj, Nik’aj Nimxor, Nik’aj Moynal, Nik’aj Karchaj"
Column1,"K’a ri’ xe’ilitäj chïk k’a ri aj Nimpoqom, aj Raxch’ich’ pa Saqtzuy, rub’i’ juyu’"
Column1,"Ke re’ k’a xrelajij, xusüj wi kej, masat, kab’ Yukite’ Chajom ri’"
Column1," K’a ri’ xe’ilitäj chïk k’a ri Kaweqi’, chi ri’ Xe Nimachäj, Ximb’äl Xuk’ rub’i’ ri juyu’"
Column1," Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xch’akatäj ri qamama’, töq xkäm qamama’ Saktekaw"
Column1," Xe’apon chïk k’a chuwi’ juyu’ Saqijuyu’, Teyokuman rukamul kaqän"
Column1,K’a ri’ xepe chïk chi ri’
Column1,Wawe’ xtintz’ib’aj kan k’amb’äl kichin ri Iqomaq’i’
Column1,  K’a ri’ xe’apon chïk k’a chuwi’ juyu’ K’aqb’atz’ulu’
Column1, Ke re’ k’a xkib’ij: “At qachaq’
Column1, K’a ri’ xtikïr k’a rukamisaxik ri Tolk’om
Column1," K’a ri’ xepe chïk k’a chi ri’, chuwi’ juyu’ K’aqb’atz’ulu’,  xkik’äq apo, xkitzäq qa ch’aqa’ Tolk’om, xkiroqij ruti’ojil, rub’aqil Tolk’om chupam ri choy"
Column1,"Xk’oje’ jun ri xrajo’, jun rurayb’al"
Column1,"Ri Q’aq’awitz xtzolij  chïk apo, xrajik’oruk’ama’ rana’;  xrajo’nik’o apo nuk’äm pe ri rana’"
Column1,"K’a ri’ xe’ik’o wi, xemeje’ wi ri nab’ey qatata’ qamama’ ri Q’aq’awitz, Saktekaw"
Column1,"Kisaqirib’al wawe’:  wawe’ xtintz’ib’aj kan kisaqirib’al, akuchi’ xkitïk kitinamit, kamaq’"
Column1," Nab’ey k’a xepe ri Q’eqak’üch, B’ak’ajol, Sib’aqijay, Kaweq"
Column1,Kani k’a xketaj kajpop chi ajawarem
Column1,Wawe’ k’a xtintz’ib’aj kan kipoqonal töq xek’oje’ chi ri’
Column1," Qitzij wi chi poqon xqalaq’ab’ej, xqab’än qatinamit töq xojapon chi qajuyub’al, xecha’ ri ojer qamama’, ïx nuk’ajol"
Column1,Wawe’ xtintz’ib’aj kan kik’amb’al ixoqi’
Column1, Tuquche’ xpe wi rixjayil ri qamama’ Q’aq’awitz
Column1,Ja k’a ri’ xtikïr rutzuqik k’axtok’
Column1,"K’a ri’ xk’utun k’a jujun ok kilab’al, kik’ulel"
Column1,"Xepe k’a chi ri’ Pan Tzik, Pa Raxone’"
Column1,"K’a ri’ xkäm ri ajaw Q’aq’awitz, ri qitzij xpe pa Tulan"
Column1,"Töq xenimär, töq e nïm chïk xe’el pe chi kewäl"
Column1,Xk’oje’ chïk jun nïm ajaw
Column1,"Je k’a ri Q’alel Xajil, Ajuchan Xajil xtaqëx kitzij kuma ri Q’eqak’uchi’, ri B’ak’ajola’"
Column1,Wawe’ xtintz’ib’aj kib’enab’al ruk’in Tepew
Column1," K’a ri’ xeb’e qamama’ Ka’i’ No’j, Ka’i’ B’atz’ ruk’in Tepew"
Column1,K’a ri’ xetaq k’a chi k’amoj patan ruma Tepew
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj töq xeya’öx  kixjayila’
Column1,"Ka’i’ No’j, Ka’i’ B’atz’, achi’el k’amol patan, xeb’e chïk chi ke ri Ajtz’ikinajay"
Column1,"Töq xkina’ runaq’ kiwäch, töq xeyakatäj ri Ka’i’ No’j, Ka’i’ B’atz’ man xkina’ ta chïk kixet"
Column1,"Wawe’ xtintz’ib’aj kan ri kanub’äl kichin, achike xb’anatäj töq xekanüx"
Column1,K’a ri’ xekanüx k’a ruma ri chinamït
Column1,"Wawe’ xtintz’ib’aj kan töq xe’apon chïk Pan Che’, Chi Q’ojom"
Column1,Xe’apon k’a chi ri’ kachb’ilam chïk kixjayila’
Column1,Xe’ok jun b’ey chïk chi ajawarem
Column1,"Xek’ajolan, xeme’alan k’a ri Ka’i’ No’j, Ka’i’ B’atz’"
Column1,"K’a ri’ xecha’ ri Ka’i’ No’j, Ka’i’ B’atz’: “Tiqatz’aqatirisaj qajawarem achi’el ojrupixab’an kan qatata’!  Ke’ok ta ka’i’ qak’ajol chi ajawarem!” xecha’"
Column1,"Xekäm k’a ri Ka’i’ No’j, Ka’i’ B’atz’"
Column1,"Kik’ajola’ e okinäq kan Q’alel Xajil, Ajuchan Xajil töq xekäm kitata’"
Column1,"Je k’a qitzij xesutulaqin, ximon su’t pa kijolom"
Column1,"Xek’oje’ ka’i’ kik’ajol: K’o Xajil, K’o B’aqil"
Column1,Xa k’a xek’oje’ chi popol ri Iqomaq’i’
Column1,Xkitolob’a’ kan kitinamit
Column1,"Töq xe’apon chïk k’a qamama’ chi ri’ chuwi’ ri tinamït Och’al,  xeloq’öx kuma ri Aqajal winäq"
Column1,"Wawe’ xtintz’ib’aj kan kib’i’ ri qamama’ ri xe’ajawär ojer, ja re’ kib’i’ ri chi xe’ok ajawa’"
Column1,"Rije’ qitzij xesutulaqin, xkikusaj kisu’t, xeyamalaqin, xe jeb’ël ichinaj kikusan"
Column1,"Töq xajawär Sitan K’atu’, ri ruk’ajol ri ajaw Ka’i’ No’j, nïm rupus nawal"
Column1,K’a ri xcha’ k’a ajaw K’iqab’ chi ke ajawa’: “Tikitika’ jun itinamit Chi Awär!” xe’uche’ëx ruma ajaw K’iqab’
Column1,Wawe’ xtintz’ib’aj kan achike xb’anatäj  töq xe’apon chïk Chi Awär
Column1,Xerutäq el ri ajaw K’iqab’
Column1,Xajawär chi ri’ ri ajaw Xitayul Jax
Column1,Chuqa’  ri ajaw Xikitzal xok chi ajawarem chi ri’
Column1,"Ruma ri’ xe’ajin yekuchun, yemolon ri oxlajuch’ob’ ajlab’al chi ri’ Q’umarkaaj"
Column1,"Ruloman ri Sotz’il, Tuquche’ xe’ajin nkiqasaj ruwa kiq’ij,  ri qamama’ xe’achijïr, xekowin, xpe kuchuq’a’"
